prod_key,durable_prod_key,product_code,product_family,sub_acct,prod_technical_name,commercial_offer_name,offer_group_name,product_type,product_sub_type,bundle_validity,addon_type,tp_share,principle_agent,digital_price,portfolio,start_date_time,end_date_time,created_date,last_updated_date,source,batch_id,dml_ins_batch,dml_upd_batch,file_name
8326,8326,BUNDLEGIFT-MONTHLY EXTREME PLUS-1195-30,REMARKS,0,BUNDLEGIFT-MONTHLY EXTREME PLUS-1195-30,MONTHLY EXTREME PLUS - NWD - MTA - GIFT,MONTHLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8233,8233,6 TO 6 OFFER_D_WL_SB__DIS.P_RS5&6_SADR,REMARKS,0,6 TO 6 OFFER_D_WL_SB__DIS.P_RS5&6_SADR,DAILY OFFPEAK - NWD - MTA WL,DAILY OFF-PEAK,GPRS,GPRS_0,1,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8390,8390,BUNDLEGIFT-WEEKLY EXTREME PLUS-320-7,REMARKS,0,BUNDLEGIFT-WEEKLY EXTREME PLUS-320-7,WEEKLY EXTREME PLUS - GIFT,WEEKLY EXTREME PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8490,8490,PL_EASY CARD 750_NWD_750_10_100,REMARKS,0,PL_EASY CARD 750_NWD_750_10_100,EASY CARD 750_PLDISC,EASY CARD 750,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8322,8322,BUNDLEGIFT-MONTHLY CHAPPAR PHAR-575-30,REMARKS,0,BUNDLEGIFT-MONTHLY CHAPPAR PHAR-575-30,MONTHLY CPO GIFT,MONTHLY CHAPPAR PHAAR,HYBRID,HEAVY VOICE HYBRID,30,DISCOUNTED,1.0000,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8486,8486,PL_EASY CARD MEGA PLUS_AJK_350_10_70,REMARKS,0,PL_EASY CARD MEGA PLUS_AJK_350_10_70,EASY CARD MEGA PLUS_PLDISC,EASY CARD MEGA PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8481,8481,PL_EASY CARD MEGA PLUS_NWD_320_10_50,REMARKS,0,PL_EASY CARD MEGA PLUS_NWD_320_10_50,EASY CARD MEGA PLUS_PLDISC,EASY CARD MEGA PLUS,HYBRID,HEAVY DATA HYBRID,7,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8477,8477,PL_MONTHLY EXTREME_AJK_1200_10_200,REMARKS,0,PL_MONTHLY EXTREME_AJK_1200_10_200,MONTHLY EXTREME_PLDISC,MONTHLY EXTREME,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8476,8476,PL_MONTHLY EXTREME_NWD_1100_10_200,REMARKS,0,PL_MONTHLY EXTREME_NWD_1100_10_200,MONTHLY EXTREME_PLDISC,MONTHLY EXTREME,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
8474,8474,PL_MONTHLY EXTREME_AJK_1200_10_100,REMARKS,0,PL_MONTHLY EXTREME_AJK_1200_10_100,MONTHLY EXTREME_PLDISC,MONTHLY EXTREME,HYBRID,HEAVY DATA HYBRID,30,DISCOUNTED,1,PRINCIPLE,0,NOT APPLICABLE,1990-01-01 00:00:00.0,"",2023-09-14,"",51,1,1,1,""
