prod_key,durable_prod_key,product_code,product_family,sub_acct,prod_technical_name,commercial_offer_name,offer_group_name,product_type,product_sub_type,bundle_validity,addon_type,tp_share,principle_agent,digital_price,portfolio,start_date_time,end_date_time,created_date,last_updated_date,source,batch_id,dml_ins_batch,dml_upd_batch,file_name
7481,7481,SERVICE ID,VAS_SERVICE_ID,0,SERVICE ID,COMMERCIAL_OFFER_NAME,OFFER_GROUP_NAME,PRODUCT_TYPE,PRODUCT_SUB_TYPE,BUNDLE_VALIDITY,ADDON_TYPE,TP_SHARE,PRINCIPLE,0,PORTFOLIO,00:00.0,,9/13/2023,,59,1,1,1,
8056,8056,99161,VAS_SERVICE_ID,0,99161,VIDLY_RENEWAL,VIDLY,DIGITAL,PARTNERSHIP,1,NOT APPLICABLE,1,PRINCIPLE,0,CONTENT,00:00.0,,9/13/2023,,59,1,1,1,
8059,8059,99177,VAS_SERVICE_ID,0,99177,VIDLY,VIDLY,DIGITAL,PARTNERSHIP,1,NOT APPLICABLE,1,PRINCIPLE,0,CONTENT,00:00.0,,9/13/2023,,59,1,1,1,
8061,8061,99178,VAS_SERVICE_ID,0,99178,VIDLY,VIDLY,DIGITAL,PARTNERSHIP,7,NOT APPLICABLE,1,PRINCIPLE,0,CONTENT,00:00.0,,9/13/2023,,59,1,1,1,
8062,8062,99163,VAS_SERVICE_ID,0,99163,VIDLY_RENEWAL,VIDLY,DIGITAL,PARTNERSHIP,7,NOT APPLICABLE,1,PRINCIPLE,0,CONTENT,00:00.0,,9/13/2023,,59,1,1,1,
