NETWORKCODE,INTERNUMBERHEAD,COUNTRYCODE
470,1470,1
473,1473,1
473402,1473402,1
473403,1473403,1
473404,1473404,1
473405,1473405,1
473406,1473406,1
473407,1473407,1
473409,1473409,1
473410,1473410,1
473414,1473414,1
473415,1473415,1
473416,1473416,1
473417,1473417,1
473418,1473418,1
473419,1473419,1
473420,1473420,1
473421,1473421,1
473422,1473422,1
473423,1473423,1
473449,1473449,1
473456,1473456,1
473457,1473457,1
473458,1473458,1
473459,1473459,1
473507,1473507,1
473520,1473520,1
473521,1473521,1
473533,1473533,1
473534,1473534,1
473535,1473535,1
473536,1473536,1
473537,1473537,1
473538,1473538,1
474,1474,1
475,1475,1
478,1478,1
479,1479,1
480,1480,1
484,1484,1
501,1501,1
502,1502,1
503,1503,1
504,1504,1
505,1505,1
506,1506,1
507,1507,1
508,1508,1
509,1509,1
510,1510,1
512,1512,1
513,1513,1
514,1514,1
515,1515,1
516,1516,1
517,1517,1
518,1518,1
519,1519,1
520,1520,1
530,1530,1
531,1531,1
534,1534,1
539,1539,1
540,1540,1
541,1541,1
548,1548,1
551,1551,1
557,1557,1
559,1559,1
561,1561,1
562,1562,1
563,1563,1
564,1564,1
567,1567,1
570,1570,1
571,1571,1
573,1573,1
574,1574,1
575,1575,1
579,1579,1
580,1580,1
581,1581,1
582,1582,1
585,1585,1
586,1586,1
587,1587,1
600,1600,1
601,1601,1
602,1602,1
603,1603,1
604,1604,1
605,1605,1
606,1606,1
607,1607,1
608,1608,1
609,1609,1
610,1610,1
612,1612,1
613,1613,1
614,1614,1
615,1615,1
616,1616,1
617,1617,1
618,1618,1
619,1619,1
620,1620,1
623,1623,1
626,1626,1
628,1628,1
629,1629,1
630,1630,1
631,1631,1
636,1636,1
639,1639,1
641,1641,1
646,1646,1
647,1647,1
649,1649,1
650,1650,1
651,1651,1
657,1657,1
658,1658,1
658295,1658295,1
659,1659,1
660,1660,1
661,1661,1
662,1662,1
664,1664,1
664349,1664349,1
664492,1664492,1
664493,1664493,1
664495,1664495,1
664496,1664496,1
667,1667,1
669,1669,1
670,1670,1
671,1671,1
672,1672,1
678,1678,1
679,1679,1
680,1680,1
681,1681,1
682,1682,1
684,1684,1
689,1689,1
70022,170022,1
70038,170038,1
700556,1700556,1
70056,170056,1
70062,170062,1
70064,170064,1
70073,170073,1
700756,1700756,1
700759,1700759,1
70087,170087,1
700956,1700956,1
700957,1700957,1
701,1701,1
702,1702,1
703,1703,1
704,1704,1
705,1705,1
706,1706,1
707,1707,1
708,1708,1
709,1709,1
710,1710,1
712,1712,1
713,1713,1
714,1714,1
715,1715,1
716,1716,1
717,1717,1
718,1718,1
719,1719,1
720,1720,1
721,1721,1
724,1724,1
725,1725,1
726,1726,1
727,1727,1
730,1730,1
731,1731,1
732,1732,1
734,1734,1
737,1737,1
740,1740,1
742,1742,1
743,1743,1
747,1747,1
754,1754,1
757,1757,1
758,1758,1
760,1760,1
762,1762,1
763,1763,1
765,1765,1
767,1767,1
7225,1767225,767
7235,1767235,767
7245,1767245,767
7265,1767265,767
7275,1767275,767
7276,1767276,767
7277,1767277,767
7285,1767285,767
7295,1767295,767
7315,1767315,767
7316,1767316,767
7317,1767317,767
7420,1767420,767
7421,1767421,767
7441,1767441,767
7502,1767502,767
7503,1767503,767
7504,1767504,767
7611,1767611,767
7612,1767612,767
7613,1767613,767
7614,1767614,767
7615,1767615,767
7616,1767616,767
7617,1767617,767
7618,1767618,767
769,1769,1
770,1770,1
772,1772,1
773,1773,1
774,1774,1
775,1775,1
778,1778,1
778553,1778553,1
779,1779,1
780,1780,1
781,1781,1
782,1782,1
784,1784,1
785,1785,1
786,1786,1
787,1787,1
800,1800,1
801,1801,1
802,1802,1
803,1803,1
804,1804,1
805,1805,1
806,1806,1
807,1807,1
808,1808,1
809,1809,1
809201,1809201,1
809203,1809203,1
809204,1809204,1
809205,1809205,1
809206,1809206,1
809207,1809207,1
809208,1809208,1
809209,1809209,1
809210,1809210,1
809212,1809212,1
809214,1809214,1
809215,1809215,1
809216,1809216,1
809217,1809217,1
809218,1809218,1
809219,1809219,1
809222,1809222,1
8092220,18092220,1
8092221,18092221,1
8092222,18092222,1
8092223,18092223,1
8092224,18092224,1
8092225,18092225,1
8092226,18092226,1
8092227,18092227,1
8092228,18092228,1
8092229,18092229,1
809223,1809223,1
809224,1809224,1
809225,1809225,1
8092264,18092264,1
8092266,18092266,1
80922694,180922694,1
80922695,180922695,1
80922696,180922696,1
80922698,180922698,1
80922699,180922699,1
809228,1809228,1
809229,1809229,1
809230,1809230,1
809232,1809232,1
809235,1809235,1
809240,1809240,1
8092403,18092403,1
8092408,18092408,1
80924093,180924093,1
80924098,180924098,1
809242,1809242,1
8092427,18092427,1
809243,1809243,1
80924300,180924300,1
80924301,180924301,1
80924302,180924302,1
80924305,180924305,1
80924306,180924306,1
80924307,180924307,1
8092433,18092433,1
8092435,18092435,1
80924357,180924357,1
80924358,180924358,1
80924359,180924359,1
8092438,18092438,1
809244,1809244,1
809246,1809246,1
8092480,18092480,1
8092481,18092481,1
8092482,18092482,1
8092483,18092483,1
8092484,18092484,1
8092485,18092485,1
8092486,18092486,1
8092487,18092487,1
8092488,18092488,1
8092489,18092489,1
809249,1809249,1
809250,1809250,1
809251,1809251,1
809252,1809252,1
809253,1809253,1
809254,1809254,1
8092557,18092557,1
8092559,18092559,1
80925598,180925598,1
809256,1809256,1
809257,1809257,1
809258,1809258,1
809259,1809259,1
809260,1809260,1
809261,1809261,1
809264,1809264,1
809265,1809265,1
809266,1809266,1
809267,1809267,1
809268,1809268,1
809269,1809269,1
809270,1809270,1
809271,1809271,1
809272,1809272,1
809277,1809277,1
809278,1809278,1
809279,1809279,1
809280,1809280,1
809281,1809281,1
809282,1809282,1
809283,1809283,1
809284,1809284,1
80928561,180928561,1
80928562,180928562,1
80928563,180928563,1
80928564,180928564,1
80928567,180928567,1
80928568,180928568,1
80928569,180928569,1
80928580,180928580,1
80928745,180928745,1
80928746,180928746,1
80928747,180928747,1
809288,1809288,1
809290,1809290,1
809291,1809291,1
809292,1809292,1
809293,1809293,1
809294,1809294,1
809296,1809296,1
809297,1809297,1
809298,1809298,1
809299,1809299,1
809301,1809301,1
809302,1809302,1
809303,1809303,1
809304,1809304,1
809305,1809305,1
809306,1809306,1
809307,1809307,1
809308,1809308,1
809309,1809309,1
809310,1809310,1
809313,1809313,1
809315,1809315,1
809316,1809316,1
809317,1809317,1
809318,1809318,1
809319,1809319,1
809320,1809320,1
809321,1809321,1
809322,1809322,1
809323,1809323,1
809324,1809324,1
809325,1809325,1
809326,1809326,1
809327,1809327,1
809330,1809330,1
809339,1809339,1
809340,1809340,1
809341,1809341,1
809342,1809342,1
809343,1809343,1
809344,1809344,1
809345,1809345,1
809346,1809346,1
809347,1809347,1
809348,1809348,1
809349,1809349,1
80935,180935,1
809360,1809360,1
809361,1809361,1
8093627,18093627,1
80936290,180936290,1
80936291,180936291,1
80936292,180936292,1
80936293,180936293,1
80936294,180936294,1
809365,1809365,1
809366,1809366,1
809367,1809367,1
8093670229,18093670229,1
8093690,18093690,1
8093692,18093692,1
8093693,18093693,1
